"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","DATA_FEED","NUM_LIKENESS"
2,2020,4,2020,"TUR",39
2,2020,2,2020,"ML",1
2,2020,3,2020,"LUX",6
3,2020,3,2020,"AB",28
3,2020,3,2020,"MLT",8
3,2020,3,2020,"VN",95
3,2020,3,2020,"RINA",110
3,2020,4,2020,"PI_AM",23
3,2020,3,2020,"PI_LS",3
3,2020,3,2020,"TUR",95
3,2020,6,2020,"PI_WE",4
3,2020,3,2020,"CYP",12
3,2020,5,2020,"BK",12
3,2020,3,2020,"VDM",1
3,2020,4,2020,"MLT",1
3,2020,9,2020,"KR",32
3,2020,3,2020,"GIBSONS",2
4,2020,4,2020,"KR",48
4,2020,4,2020,"NG",111
4,2020,4,2020,"VN",51
4,2020,4,2020,"ECU",1
