"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","CONFLICT_STATUS","DATA_FEED","COUNT_STATUS_PER_FEED"
2,2020,2,2020,"IGNORED","CS",13
2,2020,10,2020,"IGNORED","NB",1
2,2020,3,2020,"MANUAL UPDATE","NB",1
2,2020,4,2020,"IGNORED","PI_WE",3
2,2020,4,2020,"MANUAL UPDATE","PI_WE",2
2,2020,3,2020,"MANUAL UPDATE","NK",26
2,2020,6,2020,"IGNORED","PI_WE",3
2,2020,8,2020,"IGNORED","NK",2
2,2020,5,2020,"IGNORED","NK",1
2,2020,3,2020,"IGNORED","CS",9
2,2020,3,2020,"MANUAL UPDATE","NIS",14
2,2020,8,2020,"IGNORED","BK",1
2,2020,2,2020,"IGNORED","GHOST_VESSEL",1
2,2020,2,2020,"IGNORED","GEO",7
2,2020,3,2020,"MANUAL UPDATE","PI_JS",7
2,2020,3,2020,"IGNORED","MLT",2
2,2020,,,"PENDING","KR",2
2,2020,9,2020,"IGNORED","TUR",4
2,2020,6,2020,"IGNORED","NG",1
2,2020,5,2020,"IGNORED","BLACKSEA",1
2,2020,8,2020,"MANUAL UPDATE","PI_ST",5
2,2020,10,2020,"IGNORED","PI_ST",1
2,2020,7,2020,"IGNORED","PI_ST",2
2,2020,4,2020,"MANUAL UPDATE","LUX",1
2,2020,3,2020,"MANUAL UPDATE","IR",1
3,2020,5,2020,"MANUAL UPDATE","TUV",1
3,2020,,,"PENDING","TUV",1
3,2020,3,2020,"IGNORED","NG",153
3,2020,3,2020,"IGNORED","NB",6
3,2020,3,2020,"IGNORED","LUX",11
3,2020,3,2020,"IGNORED","KR",54
3,2020,3,2020,"IGNORED","AMSA",11
3,2020,7,2020,"MANUAL UPDATE","PI_AM",2
3,2020,5,2020,"MANUAL UPDATE","BV",6
3,2020,8,2020,"MANUAL UPDATE","BV",4
3,2020,3,2020,"IGNORED","CAN",6
3,2020,3,2020,"IGNORED","PI_SK",2
3,2020,5,2020,"IGNORED","VUT",1
3,2020,6,2020,"MANUAL UPDATE","PI_JS",1
3,2020,8,2020,"IGNORED","NK",5
3,2020,6,2020,"MANUAL UPDATE","AMSA",1
3,2020,6,2020,"IGNORED","PI_JS",2
3,2020,4,2020,"MANUAL UPDATE","PI_WE",8
3,2020,5,2020,"MANUAL UPDATE","PI_WE",3
3,2020,8,2020,"IGNORED","CS",3
3,2020,,,"PENDING","CS",2
3,2020,9,2020,"MANUAL UPDATE","NIS",1
3,2020,3,2020,"MANUAL UPDATE","NIS",3
3,2020,6,2020,"IGNORED","AMSA",1
3,2020,,,"PENDING","VN",5
3,2020,9,2020,"IGNORED","PI_ST",1
3,2020,6,2020,"MANUAL UPDATE","PI_ST",1
3,2020,9,2020,"MANUAL UPDATE","NG",8
3,2020,7,2020,"MANUAL UPDATE","NG",3
3,2020,6,2020,"MANUAL UPDATE","NG",2
3,2020,3,2020,"IGNORED","VZ",2
3,2020,4,2020,"MANUAL UPDATE","DB",1
3,2020,3,2020,"MANUAL UPDATE","BLACKSEA",2
3,2020,8,2020,"MANUAL UPDATE","BLACKSEA",1
3,2020,4,2020,"IGNORED","MLT",1
3,2020,11,2020,"IGNORED","PI_SM",1
3,2020,11,2020,"MANUAL UPDATE","PI_SM",1
3,2020,3,2020,"IGNORED","IB",1
3,2020,9,2020,"MANUAL UPDATE","KR",2
3,2020,4,2020,"IGNORED","VCT",1
4,2020,4,2020,"IGNORED","BV",135
4,2020,4,2020,"IGNORED","PI_ST",20
4,2020,4,2020,"IGNORED","AB",40
