"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","DATA_FEED","NUM_MANUAL_UPDATE"
5,2020,6,2020,"CS",241
5,2020,12,2020,"CS",782
5,2020,5,2020,"CS",82
5,2020,10,2020,"PI_SK",153
5,2020,9,2020,"PLW",10
5,2020,11,2020,"PI_SK",70
5,2020,11,2020,"CYP",2
6,2020,9,2020,"PI_GA",104
6,2020,8,2020,"NG",28
6,2020,8,2020,"BV",38
6,2020,6,2020,"BV",4
6,2020,7,2020,"BV",8
6,2020,8,2020,"BLACKSEA",2
6,2020,8,2020,"NK",36
6,2020,8,2020,"AMSA",9
6,2020,8,2020,"PI_WE",17
6,2020,9,2020,"PI_WE",19
6,2020,7,2020,"CS",49
6,2020,7,2020,"NIS",1
6,2020,8,2020,"CYP",1
7,2020,7,2020,"IR",1
7,2020,7,2020,"LBR",4
7,2020,7,2020,"NK",9
7,2020,8,2020,"BV",1
7,2020,11,2020,"TGO",1
7,2020,9,2020,"BV",82
7,2020,9,2020,"PI_GA",11
